patient_id,model,seed,scenario,split,ckpt,dice,recall,hd95,pred_voxels,gt_voxels,pred_empty,gt_empty,complete_miss,hd95_failed,both_empty,seconds,peak_gpu_gb
BraTS20_Training_247,B,0,C2,val,best.pt,0.8288822466849732,0.7412333123266039,6.4031242374328485,108855,138051,False,False,False,False,False,5.92430567741394,7.895637504
BraTS20_Training_255,B,0,C0,val,best.pt,0.910734083049661,0.9263562574872258,3.1622776601683795,169225,163612,False,False,False,False,False,5.924284934997559,7.895637504
BraTS20_Training_255,B,0,C1,val,best.pt,0.909208322645865,0.9207698701806714,3.3166247903554,167773,163612,False,False,False,False,False,5.926719427108765,7.895637504
BraTS20_Training_255,B,0,C2,val,best.pt,0.90925265841528,0.930787472801506,3.3166247903554,171362,163612,False,False,False,False,False,5.9229536056518555,7.895637504
BraTS20_Training_270,B,0,C0,val,best.pt,0.8148348206415118,0.7319921822348026,7.483314773547883,118209,148380,False,False,False,False,False,5.9222939014434814,7.895637504
BraTS20_Training_270,B,0,C1,val,best.pt,0.80075256142896,0.7142337242215933,9.899494936611665,116316,148380,False,False,False,False,False,5.922019958496094,7.895637504
BraTS20_Training_270,B,0,C2,val,best.pt,0.7178049802368974,0.7447432268499797,43.49540186213128,159517,148380,False,False,False,False,False,5.924337387084961,7.895637504
BraTS20_Training_299,B,0,C0,val,best.pt,0.1839964791602145,0.1016772054982075,34.56877203488721,11680,111018,False,False,False,False,False,5.932961940765381,7.895637504
BraTS20_Training_299,B,0,C1,val,best.pt,0.12027279411143318,0.06409771388423499,34.77067730142742,7313,111018,False,False,False,False,False,5.93361234664917,7.895637504
BraTS20_Training_299,B,0,C2,val,best.pt,0.21417159290621504,0.12074618530328415,32.341923257592455,14162,111018,False,False,False,False,False,5.929582118988037,7.895637504
BraTS20_Training_327,B,0,C0,val,best.pt,0.810632289057149,0.7049330134952105,10.816653826391969,135900,183843,False,False,False,False,False,5.92866587638855,7.895637504
BraTS20_Training_327,B,0,C1,val,best.pt,0.830376868595308,0.7349803908769983,9.539392014169456,141602,183843,False,False,False,False,False,5.9277215003967285,7.895637504
